Agency,Cntyfip,Circumstance,MSA,Number of Records,Solved,Source,State,Vic Age,Vic Race,Vic Sex,Weapon,Year
State Police: Anne Arundel County,"Anne Arundel, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,32,Asian or Pacific Islander,Male,"Handgun - pistol, revolver, etc",1993
Harford County,"Harford, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,28,Asian or Pacific Islander,Male,"Handgun - pistol, revolver, etc",1987
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,4,Black,Male,"Handgun - pistol, revolver, etc",1992
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,24,Black,Male,"Handgun - pistol, revolver, etc",1992
Prince George's County Police Department,"Prince George's, MD",Other - not specified,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",2013
Prince George's County Police Department,"Prince George's, MD",Other - not specified,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",2013
Baltimore County Police Department,"Baltimore, MD",All suspected felony type,"Baltimore-Towson, MD",1,No,FBI,Maryland,30,Black,Male,Knife or cutting instrument,1991
Baltimore County Police Department,"Baltimore, MD",All suspected felony type,"Baltimore-Towson, MD",1,No,FBI,Maryland,30,Black,Male,Knife or cutting instrument,1991
Montgomery County Police Department,"Montgomery, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,8,Black,Male,"Personal weapons, includes beating",1993
Anne Arundel County Police Department,"Anne Arundel, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,No,FBI,Maryland,27,Black,Male,"Firearm, type not stated",2006
Anne Arundel County Police Department,"Anne Arundel, MD",Narcotic drug laws,"Baltimore-Towson, MD",1,No,FBI,Maryland,29,Black,Male,"Firearm, type not stated",2006
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,3,Black,Male,"Handgun - pistol, revolver, etc",1995
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,3,Black,Male,"Handgun - pistol, revolver, etc",1995
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,28,Black,Male,"Handgun - pistol, revolver, etc",1996
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,30,Black,Male,"Handgun - pistol, revolver, etc",1996
Baltimore County Police Department,"Baltimore, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,25,Black,Male,"Handgun - pistol, revolver, etc",2007
Baltimore County Police Department,"Baltimore, MD",Circumstances undetermined,"Baltimore-Towson, MD",1,No,FBI,Maryland,32,Black,Male,"Handgun - pistol, revolver, etc",2007
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,42,Black,Male,"Handgun - pistol, revolver, etc",2007
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,47,Black,Male,"Handgun - pistol, revolver, etc",2007
